#Shortcut:Network Name:APN Name:Username:Password
uk:Vodafone UK:internet:web:web
at:Mobilkom, Austria:A1.net:ppp@A1plus.at:ppp
be:Proximus:internet.proximus.be::
es:Vodafone Spain:ac.vodafone.es:vodafone:vodafone
it:Vodafone Italy:web.omnitel.it::
de:Vodafone Germany:web.vodafone.de::
d2:Vodafone Germany (Corporate):corporate.vodafone.de:rla@rla.de:RLA
nl:Vodafone Netherlands:office.vodafone.nl:vodafone:vodafone
se:Vodafone Sweden:internet.vodafone.net::
hu:Vodafone Hungary:internet.vodafone.net::
fr:SFR:websfr::
gr:Vodafone Greece:internet::
pt:Vodafone Portugal:internet.vodafone.pt:vodafone:vodafone
nz:Vodafone New Zealand:www.vodafone.net.nz::
au:Vodafone Australia:vfinternet.au::
ie:Vodafone Ireland:office.vodafone.ie:vodafone:vodafone
mt:Vodafone Malta:internet:internet:internet
eg:Vodafone Egypt:internet.vodafone.net:internet:internet
za:Vodacom SA:internet::
hr:Vipnet:3g.vip.hr:38591:38591
si:SiMobil:internet.simobil.si:simobil:internet
fi:Elisa Finland:internet::
dk:TDC Mobil:internet::
bh:MTC Bahrain:internet:internet:internet
kw:MTC Kuwait:apn01::
ee:Elisa Estonia:internet::
fj:Vodafone Fiji:vfinternet.au::
is:OG Vodafone:gprs.is::
lu:LUXGSM:web.pt.lu::
it:3 Italy:naviga.tre.it::
